Wavelength,Intensity
4402.9,6.17E-14
4405.65,6.60E-14
4408.4,6.53E-14
4411.15,6.82E-14
4413.9,6.50E-14
4416.65,6.22E-14
4419.4,6.19E-14
4422.15,5.93E-14
4424.9,5.94E-14
4427.65,6.01E-14
4430.4,5.98E-14
4433.15,5.99E-14
4435.9,5.92E-14
4438.65,6.00E-14
4441.4,5.65E-14
4444.15,5.76E-14
4446.9,5.72E-14
4449.65,5.44E-14
4452.4,5.53E-14
4455.15,5.34E-14
4457.9,5.26E-14
4460.65,5.26E-14
4463.4,5.23E-14
4466.15,5.27E-14
4468.9,5.20E-14
4471.65,5.36E-14
4474.4,5.25E-14
4477.15,5.27E-14
4479.9,5.10E-14
4482.65,5.36E-14
4485.4,5.37E-14
4488.15,5.44E-14
4490.9,5.20E-14
4493.65,5.28E-14
4496.4,5.16E-14
4499.15,5.27E-14
4501.9,5.29E-14
4504.65,5.35E-14
4507.4,5.17E-14
4510.15,5.24E-14
4512.9,5.11E-14
4515.65,5.12E-14
4518.4,5.14E-14
4521.15,5.02E-14
4523.9,5.17E-14
4526.65,5.24E-14
4529.4,5.20E-14
4532.15,5.15E-14
4534.9,5.19E-14
4537.65,5.32E-14
4540.4,5.29E-14
4543.15,5.41E-14
4545.9,5.58E-14
4548.65,5.55E-14
4551.4,5.43E-14
4554.15,5.53E-14
4556.9,5.51E-14
4559.65,5.41E-14
4562.4,5.52E-14
4565.15,5.59E-14
4567.9,5.59E-14
4570.65,5.49E-14
4573.4,5.49E-14
4576.15,5.65E-14
4578.9,5.68E-14
4581.65,5.68E-14
4584.4,5.78E-14
4587.15,5.70E-14
4589.9,5.51E-14
4592.65,5.52E-14
4595.4,5.46E-14
4598.15,5.47E-14
4600.9,5.39E-14
4603.65,5.26E-14
4606.4,5.35E-14
4609.15,5.52E-14
4611.9,5.50E-14
4614.65,5.41E-14
4617.4,5.59E-14
4620.15,5.49E-14
4622.9,5.37E-14
4625.65,5.32E-14
4628.4,5.44E-14
4631.15,5.36E-14
4633.9,5.53E-14
4636.65,5.58E-14
4639.4,5.34E-14
4642.15,5.42E-14
4644.9,5.47E-14
4647.65,5.53E-14
4650.4,5.46E-14
4653.15,5.52E-14
4655.9,5.65E-14
4658.65,5.50E-14
4661.4,5.49E-14
4664.15,5.51E-14
4666.9,5.32E-14
4669.65,5.30E-14
4672.4,5.34E-14
4675.15,5.45E-14
4677.9,5.44E-14
4680.65,5.42E-14
4683.4,5.52E-14
4686.15,5.66E-14
4688.9,5.72E-14
4691.65,5.69E-14
4694.4,5.64E-14
4697.15,5.60E-14
4699.9,5.73E-14
4702.65,5.79E-14
4705.4,5.77E-14
4708.15,5.73E-14
4710.9,5.66E-14
4713.65,5.67E-14
4716.4,5.61E-14
4719.15,5.63E-14
4721.9,5.61E-14
4724.65,5.60E-14
4727.4,5.51E-14
4730.15,5.49E-14
4732.9,5.55E-14
4735.65,5.54E-14
4738.4,5.57E-14
4741.15,5.43E-14
4743.9,5.52E-14
4746.65,5.57E-14
4749.4,5.46E-14
4752.15,5.62E-14
4754.9,5.63E-14
4757.65,5.75E-14
4760.4,5.73E-14
4763.15,5.73E-14
4765.9,5.73E-14
4768.65,5.61E-14
4771.4,5.39E-14
4774.15,5.35E-14
4776.9,5.27E-14
4779.65,5.31E-14
4782.4,5.31E-14
4785.15,5.25E-14
4787.9,5.26E-14
4790.65,5.39E-14
4793.4,5.40E-14
4796.15,5.59E-14
4798.9,5.44E-14
4801.65,5.50E-14
4804.4,5.26E-14
4807.15,5.12E-14
4809.9,5.19E-14
4812.65,5.33E-14
4815.4,5.31E-14
4818.15,5.18E-14
4820.9,5.36E-14
4823.65,5.19E-14
4826.4,5.21E-14
4829.15,5.26E-14
4831.9,5.21E-14
4834.65,5.01E-14
4837.4,5.22E-14
4840.15,5.28E-14
4842.9,5.11E-14
4845.65,5.09E-14
4848.4,5.17E-14
4851.15,5.05E-14
4853.9,5.13E-14
4856.65,5.14E-14
4859.4,5.08E-14
4862.15,5.06E-14
4864.9,5.10E-14
4867.65,5.10E-14
4870.4,5.11E-14
4873.15,5.12E-14
4875.9,5.10E-14
4878.65,5.17E-14
4881.4,5.07E-14
4884.15,5.23E-14
4886.9,5.21E-14
4889.65,5.18E-14
4892.4,5.10E-14
4895.15,5.28E-14
4897.9,5.41E-14
4900.65,5.35E-14
4903.4,5.55E-14
4906.15,5.43E-14
4908.9,5.48E-14
4911.65,5.54E-14
4914.4,5.70E-14
4917.15,5.60E-14
4919.9,6.01E-14
4922.65,6.25E-14
4925.4,6.42E-14
4928.15,6.53E-14
4930.9,6.81E-14
4933.65,7.43E-14
4936.4,7.82E-14
4939.15,8.51E-14
4941.9,8.88E-14
4944.65,8.43E-14
4947.4,7.64E-14
4950.15,7.05E-14
4952.9,6.77E-14
4955.65,6.43E-14
4958.4,6.31E-14
4961.15,6.25E-14
4963.9,5.91E-14
4966.65,5.77E-14
4969.4,5.74E-14
4972.15,5.66E-14
4974.9,5.47E-14
4977.65,5.63E-14
4980.4,5.69E-14
4983.15,5.50E-14
4985.9,5.53E-14
4988.65,5.59E-14
4991.4,5.47E-14
4994.15,5.38E-14
4996.9,5.53E-14
4999.65,5.23E-14
5002.4,5.23E-14
5005.15,5.14E-14
5007.9,5.17E-14
5010.65,5.35E-14
5013.4,5.35E-14
5016.15,5.37E-14
5018.9,5.38E-14
5021.65,5.44E-14
5024.4,5.27E-14
5027.15,5.52E-14
5029.9,5.58E-14
5032.65,6.04E-14
5035.4,6.59E-14
5038.15,6.90E-14
5040.9,6.67E-14
5043.65,6.06E-14
5046.4,5.47E-14
5049.15,5.10E-14
5051.9,4.94E-14
5054.65,4.91E-14
5057.4,4.95E-14
5060.15,4.96E-14
5062.9,4.93E-14
5065.65,4.95E-14
5068.4,5.07E-14
5071.15,5.28E-14
5073.9,5.67E-14
5076.65,6.01E-14
5079.4,6.85E-14
5082.15,8.36E-14
5084.9,9.86E-14
5087.65,1.04E-13
5090.4,9.53E-14
5093.15,7.56E-14
5095.9,5.93E-14
5098.65,5.43E-14
5101.4,5.12E-14
5104.15,5.01E-14
5106.9,5.10E-14
5109.65,4.96E-14
5112.4,5.14E-14
5115.15,5.09E-14
5117.9,5.05E-14
5120.65,4.79E-14
5123.4,4.80E-14
5126.15,4.79E-14
5128.9,4.86E-14
5131.65,4.85E-14
5134.4,4.90E-14
5137.15,4.86E-14
5139.9,4.92E-14
5142.65,4.95E-14
5145.4,5.16E-14
5148.15,4.95E-14
5150.9,4.85E-14
5153.65,4.61E-14
5156.4,4.74E-14
5159.15,4.70E-14
5161.9,4.86E-14
5164.65,4.71E-14
5167.4,4.69E-14
5170.15,4.73E-14
