wavelength,intensity
6455.07,2.41E-15
6456.07,2.46E-15
6457.07,2.54E-15
6458.06,2.55E-15
6459.06,2.49E-15
6460.06,2.52E-15
6461.06,2.60E-15
6462.05,2.62E-15
6463.05,2.64E-15
6464.05,2.61E-15
6465.04,2.56E-15
6466.04,2.52E-15
6467.04,2.51E-15
6468.03,2.55E-15
6469.03,2.57E-15
6470.03,2.60E-15
6471.02,2.56E-15
6472.02,2.58E-15
6473.02,2.58E-15
6474.02,2.56E-15
6475.01,2.54E-15
6476.01,2.58E-15
6477.01,2.63E-15
6478,2.64E-15
6479,2.64E-15
6480,2.62E-15
6480.99,2.61E-15
6481.99,2.63E-15
6482.99,2.57E-15
6483.98,2.55E-15
6484.98,2.60E-15
6485.98,2.53E-15
6486.98,2.57E-15
6487.97,2.61E-15
6488.97,2.59E-15
6489.97,2.60E-15
6490.96,2.66E-15
6491.96,2.60E-15
6492.96,2.63E-15
6493.95,2.61E-15
6494.95,2.57E-15
6495.95,2.42E-15
6496.94,2.39E-15
6497.94,2.31E-15
6498.94,2.26E-15
6499.94,2.29E-15
6500.93,2.37E-15
6501.93,2.37E-15
6502.93,2.38E-15
6503.92,2.44E-15
6504.92,2.55E-15
6505.92,2.56E-15
6506.91,2.57E-15
6507.91,2.63E-15
6508.91,2.63E-15
6509.9,2.65E-15
6510.9,2.64E-15
6511.9,2.64E-15
6512.9,2.64E-15
6513.89,2.63E-15
6514.89,2.64E-15
6515.89,2.65E-15
6516.88,2.66E-15
6517.88,2.66E-15
6518.88,2.62E-15
6519.87,2.63E-15
6520.87,2.58E-15
6521.87,2.58E-15
6522.86,2.55E-15
6523.86,2.60E-15
6524.86,2.62E-15
6525.85,2.64E-15
6526.85,2.62E-15
6527.85,2.65E-15
6528.85,2.65E-15
6529.84,2.66E-15
6530.84,2.62E-15
6531.84,2.64E-15
6532.83,2.66E-15
6533.83,2.62E-15
6534.83,2.63E-15
6535.82,2.65E-15
6536.82,2.68E-15
6537.82,2.69E-15
6538.81,2.66E-15
6539.81,2.72E-15
6540.81,2.73E-15
6541.81,2.79E-15
6542.8,2.85E-15
6543.8,2.90E-15
6544.8,2.98E-15
6545.79,3.06E-15
6546.79,3.08E-15
6547.79,3.24E-15
6548.78,3.43E-15
6549.78,3.73E-15
6550.78,4.13E-15
6551.78,4.56E-15
6552.77,4.94E-15
6553.77,4.69E-15
6554.77,3.98E-15
6555.76,3.48E-15
6556.76,3.28E-15
6557.76,3.17E-15
6558.75,3.17E-15
6559.75,3.26E-15
6560.75,3.50E-15
6561.74,3.80E-15
6562.74,4.31E-15
6563.74,5.12E-15
6564.74,6.05E-15
6565.73,7.26E-15
6566.73,9.18E-15
6567.73,1.08E-14
6568.72,1.00E-14
6569.72,7.33E-15
6570.72,5.07E-15
6571.71,3.89E-15
6572.71,3.32E-15
6573.71,3.11E-15
6574.7,3.02E-15
6575.7,2.96E-15
6576.7,2.95E-15
6577.7,3.02E-15
6578.69,3.07E-15
6579.69,3.22E-15
6580.69,3.41E-15
6581.68,3.70E-15
6582.68,4.12E-15
6583.68,4.68E-15
6584.67,5.51E-15
6585.67,6.53E-15
6586.67,7.76E-15
6587.66,9.01E-15
6588.66,9.07E-15
6589.66,7.35E-15
6590.66,5.31E-15
6591.65,4.06E-15
6592.65,3.42E-15
6593.65,3.08E-15
6594.64,2.91E-15
6595.64,2.78E-15
6596.64,2.63E-15
6597.63,2.54E-15
6598.63,2.55E-15
6599.63,2.59E-15
6600.62,2.61E-15
6601.62,2.58E-15
6602.62,2.59E-15
6603.62,2.60E-15
6604.61,2.63E-15
6605.61,2.62E-15
6606.61,2.63E-15
6607.6,2.58E-15
6608.6,2.55E-15
6609.6,2.57E-15
6610.59,2.53E-15
6611.59,2.51E-15
6612.59,2.52E-15
6613.58,2.52E-15
6614.58,2.55E-15
6615.58,2.60E-15
6616.58,2.62E-15
6617.57,2.58E-15
6618.57,2.59E-15
6619.57,2.61E-15
6620.56,2.58E-15
6621.56,2.61E-15
6622.56,2.60E-15
6623.55,2.61E-15
6624.55,2.65E-15
6625.55,2.65E-15
6626.54,2.59E-15
6627.54,2.56E-15
6628.54,2.55E-15
6629.54,2.53E-15
6630.53,2.59E-15
6631.53,2.60E-15
6632.53,2.57E-15
6633.52,2.54E-15
6634.52,2.54E-15
6635.52,2.54E-15
6636.51,2.50E-15
6637.51,2.47E-15
6638.51,2.52E-15
6639.5,2.55E-15
6640.5,2.53E-15
6641.5,2.51E-15
6642.5,2.58E-15
6643.49,2.57E-15
6644.49,2.56E-15
6645.49,2.54E-15
6646.48,2.56E-15
6647.48,2.55E-15
6648.48,2.54E-15
6649.47,2.56E-15
6650.47,2.59E-15
6651.47,2.59E-15
6652.46,2.56E-15
6653.46,2.56E-15
6654.46,2.56E-15
6655.46,2.58E-15
6656.45,2.58E-15
6657.45,2.58E-15
6658.45,2.55E-15
6659.44,2.56E-15
6660.44,2.58E-15
6661.44,2.55E-15
6662.43,2.59E-15
6663.43,2.57E-15
6664.43,2.52E-15
6665.42,2.51E-15
6666.42,2.51E-15
6667.42,2.52E-15
6668.42,2.48E-15
6669.41,2.49E-15
6670.41,2.52E-15
6671.41,2.49E-15
6672.4,2.58E-15
6673.4,2.58E-15
6674.4,2.60E-15
6675.39,2.63E-15
6676.39,2.60E-15
6677.39,2.63E-15
6678.38,2.58E-15
6679.38,2.57E-15
6680.38,2.57E-15
6681.38,2.59E-15
6682.37,2.55E-15
6683.37,2.59E-15
6684.37,2.59E-15
6685.36,2.61E-15
6686.36,2.58E-15
6687.36,2.60E-15
6688.35,2.60E-15
6689.35,2.59E-15
6690.35,2.59E-15
6691.34,2.59E-15
6692.34,2.57E-15
6693.34,2.59E-15
6694.33,2.60E-15
6695.33,2.58E-15
6696.33,2.60E-15
6697.33,2.55E-15
6698.32,2.61E-15
6699.32,2.57E-15
6700.32,2.51E-15
6701.31,2.49E-15
6702.31,2.58E-15
6703.31,2.57E-15
6704.3,2.56E-15
6705.3,2.57E-15
6706.3,2.59E-15
6707.29,2.62E-15
6708.29,2.61E-15
6709.29,2.60E-15
6710.29,2.64E-15
6711.28,2.71E-15
6712.28,2.76E-15
6713.28,2.76E-15
6714.27,2.85E-15
6715.27,2.94E-15
6716.27,3.08E-15
6717.26,3.25E-15
6718.26,3.54E-15
6719.26,3.97E-15
6720.25,4.27E-15
6721.25,4.37E-15
6722.25,3.93E-15
6723.25,3.45E-15
6724.24,3.03E-15
6725.24,2.92E-15
6726.24,2.91E-15
6727.23,2.83E-15
6728.23,2.86E-15
6729.23,3.02E-15
6730.22,3.14E-15
6731.22,3.34E-15
6732.22,3.69E-15
6733.21,4.10E-15
6734.21,4.51E-15
6735.21,4.81E-15
6736.21,4.66E-15
6737.2,4.08E-15
6738.2,3.40E-15
6739.2,3.00E-15
6740.19,2.80E-15
6741.19,2.71E-15
6742.19,2.62E-15
6743.18,2.59E-15
6744.18,2.59E-15
6745.18,2.55E-15
6746.18,2.52E-15
6747.17,2.54E-15
6748.17,2.54E-15
6749.17,2.52E-15
6750.16,2.54E-15
6751.16,2.53E-15
6752.16,2.50E-15
6753.15,2.53E-15
6754.15,2.52E-15
6755.15,2.50E-15
6756.14,2.48E-15
6757.14,2.51E-15
6758.14,2.51E-15
6759.14,2.52E-15
6760.13,2.56E-15
6761.13,2.55E-15
6762.13,2.58E-15
6763.12,2.62E-15
6764.12,2.59E-15
6765.12,2.58E-15
6766.11,2.59E-15
6767.11,2.57E-15
6768.11,2.56E-15
6769.1,2.54E-15
6770.1,2.53E-15
6771.1,2.56E-15
6772.1,2.59E-15
6773.09,2.56E-15
6774.09,2.54E-15
6775.09,2.56E-15
6776.08,2.58E-15
6777.08,2.60E-15
6778.08,2.63E-15
6779.07,2.60E-15
6780.07,2.62E-15
6781.07,2.62E-15
6782.06,2.61E-15
6783.06,2.66E-15
6784.06,2.65E-15
6785.06,2.57E-15
6786.05,2.59E-15
6787.05,2.60E-15
6788.05,2.55E-15
6789.04,2.51E-15
6790.04,2.56E-15
6791.04,2.56E-15
6792.03,2.62E-15
6793.03,2.61E-15
6794.03,2.62E-15
6795.02,2.56E-15
6796.02,2.58E-15
6797.02,2.60E-15
6798.02,2.57E-15
6799.01,2.57E-15
6800.01,2.54E-15
6801.01,2.58E-15
6802,2.60E-15
6803,2.53E-15
6804,2.59E-15
6804.99,2.60E-15
6805.99,2.62E-15
6806.99,2.64E-15
6807.98,2.60E-15
6808.98,2.61E-15
6809.98,2.54E-15
6810.98,2.57E-15
6811.97,2.62E-15
6812.97,2.56E-15
6813.97,2.55E-15
6814.96,2.58E-15
6815.96,2.61E-15
6816.96,2.62E-15
6817.95,2.59E-15
6818.95,2.53E-15
6819.95,2.61E-15
6820.94,2.65E-15
6821.94,2.59E-15
6822.94,2.59E-15
6823.94,2.57E-15
6824.93,2.57E-15
6825.93,2.58E-15
6826.93,2.60E-15
6827.92,2.65E-15
6828.92,2.62E-15
6829.92,2.61E-15
6830.91,2.60E-15
6831.91,2.62E-15
6832.91,2.61E-15
6833.9,2.61E-15
6834.9,2.61E-15
6835.9,2.59E-15
6836.9,2.61E-15
6837.89,2.60E-15
6838.89,2.63E-15
