wavelength,intensity
6217.29,6.57E-14
6218.29,6.63E-14
6219.28,6.55E-14
6220.28,6.59E-14
6221.28,6.62E-14
6222.27,6.66E-14
6223.27,6.67E-14
6224.27,6.60E-14
6225.26,6.65E-14
6226.26,6.71E-14
6227.25,6.63E-14
6228.25,6.63E-14
6229.25,6.57E-14
6230.24,6.59E-14
6231.24,6.51E-14
6232.24,6.53E-14
6233.23,6.53E-14
6234.23,6.56E-14
6235.23,6.71E-14
6236.22,6.66E-14
6237.22,6.63E-14
6238.21,6.48E-14
6239.21,6.46E-14
6240.21,6.55E-14
6241.2,6.48E-14
6242.2,6.41E-14
6243.2,6.42E-14
6244.19,6.42E-14
6245.19,6.48E-14
6246.19,6.43E-14
6247.18,6.46E-14
6248.18,6.44E-14
6249.17,6.49E-14
6250.17,6.50E-14
6251.17,6.52E-14
6252.16,6.56E-14
6253.16,6.52E-14
6254.16,6.38E-14
6255.15,6.27E-14
6256.15,6.30E-14
6257.15,6.24E-14
6258.14,6.19E-14
6259.14,6.24E-14
6260.13,6.30E-14
6261.13,6.32E-14
6262.13,6.48E-14
6263.12,6.57E-14
6264.12,6.65E-14
6265.12,6.64E-14
6266.11,6.75E-14
6267.11,6.84E-14
6268.11,6.78E-14
6269.1,6.82E-14
6270.1,6.91E-14
6271.09,6.94E-14
6272.09,6.92E-14
6273.09,7.00E-14
6274.08,7.00E-14
6275.08,6.99E-14
6276.08,7.25E-14
6277.07,7.50E-14
6278.07,7.46E-14
6279.07,7.61E-14
6280.06,7.76E-14
6281.06,7.87E-14
6282.05,8.00E-14
6283.05,8.14E-14
6284.05,8.35E-14
6285.04,8.60E-14
6286.04,8.89E-14
6287.04,9.08E-14
6288.03,9.44E-14
6289.03,9.88E-14
6290.03,1.02E-13
6291.02,1.06E-13
6292.02,1.10E-13
6293.01,1.13E-13
6294.01,1.15E-13
6295.01,1.19E-13
6296,1.23E-13
6297,1.25E-13
6298,1.29E-13
6298.99,1.30E-13
6299.99,1.27E-13
6300.99,1.24E-13
6301.98,1.21E-13
6302.98,1.17E-13
6303.97,1.12E-13
6304.97,1.05E-13
6305.97,1.02E-13
6306.96,1.00E-13
6307.96,9.80E-14
6308.96,9.69E-14
6309.95,9.39E-14
6310.95,9.01E-14
6311.95,8.63E-14
6312.94,8.29E-14
6313.94,8.14E-14
6314.93,7.90E-14
6315.93,7.59E-14
6316.93,7.40E-14
6317.92,7.24E-14
6318.92,7.20E-14
6319.92,7.17E-14
6320.91,7.09E-14
6321.91,7.17E-14
6322.91,7.09E-14
6323.9,7.10E-14
6324.9,7.13E-14
6325.89,7.18E-14
6326.89,7.12E-14
6327.89,7.05E-14
6328.88,7.15E-14
6329.88,7.14E-14
6330.88,7.16E-14
6331.87,7.04E-14
6332.87,7.08E-14
6333.87,7.10E-14
6334.86,7.00E-14
6335.86,6.97E-14
6336.85,6.90E-14
6337.85,6.79E-14
6338.85,6.86E-14
6339.84,6.99E-14
6340.84,7.09E-14
6341.84,6.99E-14
6342.83,7.02E-14
6343.83,7.02E-14
6344.83,7.04E-14
6345.82,7.04E-14
6346.82,7.15E-14
6347.81,7.24E-14
6348.81,7.40E-14
6349.81,7.55E-14
6350.8,7.72E-14
6351.8,7.79E-14
6352.8,7.83E-14
6353.79,7.99E-14
6354.79,8.10E-14
6355.79,8.21E-14
6356.78,8.40E-14
6357.78,8.41E-14
6358.77,8.49E-14
6359.77,8.58E-14
6360.77,8.74E-14
6361.76,8.77E-14
6362.76,8.80E-14
6363.76,8.73E-14
6364.75,8.79E-14
6365.75,8.84E-14
6366.75,8.79E-14
6367.74,8.78E-14
6368.74,8.57E-14
6369.73,8.43E-14
6370.73,8.60E-14
6371.73,8.50E-14
6372.72,8.21E-14
6373.72,8.05E-14
6374.72,7.89E-14
6375.71,7.74E-14
6376.71,7.60E-14
6377.71,7.61E-14
6378.7,7.51E-14
6379.7,7.34E-14
6380.69,7.23E-14
6381.69,7.23E-14
6382.69,7.26E-14
6383.68,7.12E-14
6384.68,7.02E-14
6385.68,7.09E-14
6386.67,7.10E-14
6387.67,7.01E-14
6388.67,6.99E-14
6389.66,6.98E-14
6390.66,6.93E-14
6391.65,6.96E-14
6392.65,6.85E-14
6393.65,6.78E-14
6394.64,6.74E-14
6395.64,6.72E-14
6396.64,6.78E-14
6397.63,6.76E-14
6398.63,6.73E-14
6399.62,6.73E-14
6400.62,6.79E-14
6401.62,6.83E-14
6402.61,6.88E-14
6403.61,6.79E-14
6404.61,6.89E-14
6405.6,6.85E-14
6406.6,6.78E-14
6407.6,6.71E-14
6408.59,6.77E-14
6409.59,6.76E-14
6410.58,6.78E-14
6411.58,6.72E-14
6412.58,6.79E-14
6413.57,6.77E-14
6414.57,6.82E-14
6415.57,6.80E-14
6416.56,6.76E-14
6417.56,6.87E-14
6418.56,6.84E-14
6419.55,6.85E-14
6420.55,6.91E-14
6421.54,6.92E-14
6422.54,6.91E-14
6423.54,7.03E-14
6424.53,7.02E-14
6425.53,7.03E-14
6426.53,7.08E-14
6427.52,7.05E-14
6428.52,7.09E-14
6429.52,7.11E-14
6430.51,7.09E-14
6431.51,7.12E-14
6432.5,7.08E-14
6433.5,7.00E-14
6434.5,6.94E-14
6435.49,7.05E-14
6436.49,6.98E-14
6437.49,6.98E-14
6438.48,6.96E-14
6439.48,6.82E-14
6440.48,6.96E-14
6441.47,7.00E-14
6442.47,7.02E-14
6443.46,7.02E-14
6444.46,6.92E-14
6445.46,6.93E-14
6446.45,7.02E-14
6447.45,6.90E-14
6448.45,6.74E-14
6449.44,6.72E-14
6450.44,6.54E-14
6451.44,6.42E-14
6452.43,6.49E-14
6453.43,6.67E-14
6454.42,6.67E-14
6455.42,6.64E-14
6456.42,6.70E-14
6457.41,6.73E-14
6458.41,6.73E-14
6459.41,6.61E-14
6460.4,6.65E-14
6461.4,6.75E-14
6462.4,6.82E-14
6463.39,6.76E-14
6464.39,6.77E-14
6465.38,6.76E-14
6466.38,6.80E-14
6467.38,6.79E-14
6468.37,6.75E-14
6469.37,6.85E-14
6470.37,6.91E-14
6471.36,6.88E-14
6472.36,6.81E-14
6473.36,6.91E-14
6474.35,6.98E-14
6475.35,6.98E-14
6476.34,6.98E-14
6477.34,6.99E-14
6478.34,6.98E-14
6479.33,6.90E-14
6480.33,6.95E-14
6481.33,6.98E-14
