wavelength,intensity
6196,1.19E-14
6197,1.21E-14
6198,1.21E-14
6199,1.22E-14
6200,1.21E-14
6201,1.20E-14
6202,1.21E-14
6203,1.21E-14
6204,1.22E-14
6205,1.23E-14
6206,1.24E-14
6207,1.24E-14
6208,1.25E-14
6209,1.24E-14
6210,1.23E-14
6211,1.25E-14
6212,1.23E-14
6213,1.21E-14
6214,1.19E-14
6215,1.18E-14
6216,1.19E-14
6217,1.20E-14
6218,1.20E-14
6219,1.20E-14
6220,1.21E-14
6221,1.21E-14
6222,1.22E-14
6223,1.22E-14
6224,1.23E-14
6225,1.24E-14
6226,1.23E-14
6227,1.25E-14
6228,1.25E-14
6229,1.24E-14
6230,1.23E-14
6231,1.22E-14
6232,1.22E-14
6233,1.24E-14
6234,1.25E-14
6235,1.26E-14
6236,1.27E-14
6237,1.27E-14
6238,1.26E-14
6239,1.26E-14
6240,1.24E-14
6241,1.25E-14
6242,1.24E-14
6243,1.23E-14
6244,1.23E-14
6245,1.24E-14
6246,1.23E-14
6247,1.23E-14
6248,1.25E-14
6249,1.25E-14
6250,1.26E-14
6251,1.26E-14
6252,1.26E-14
6253,1.23E-14
6254,1.22E-14
6255,1.22E-14
6256,1.21E-14
6257,1.20E-14
6258,1.19E-14
6259,1.18E-14
6260,1.19E-14
6261,1.22E-14
6262,1.23E-14
6263,1.23E-14
6264,1.23E-14
6265,1.23E-14
6266,1.22E-14
6267,1.22E-14
6268,1.23E-14
6269,1.21E-14
6270,1.20E-14
6271,1.22E-14
6272,1.22E-14
6273,1.22E-14
6274,1.24E-14
6275,1.24E-14
6276,1.23E-14
6277,1.22E-14
6278,1.22E-14
6279,1.22E-14
6280,1.22E-14
6281,1.21E-14
6282,1.21E-14
6283,1.20E-14
6284,1.21E-14
6285,1.22E-14
6286,1.23E-14
6287,1.23E-14
6288,1.24E-14
6289,1.25E-14
6290,1.26E-14
6291,1.27E-14
6292,1.28E-14
6293,1.29E-14
6294,1.30E-14
6295,1.35E-14
6296,1.43E-14
6297,1.57E-14
6298,1.76E-14
6299,1.99E-14
6300,2.09E-14
6301,1.85E-14
6302,1.51E-14
6303,1.36E-14
6304,1.31E-14
6305,1.29E-14
6306,1.28E-14
6307,1.28E-14
6308,1.29E-14
6309,1.31E-14
6310,1.31E-14
6311,1.32E-14
6312,1.31E-14
6313,1.28E-14
6314,1.26E-14
6315,1.23E-14
6316,1.23E-14
6317,1.22E-14
6318,1.20E-14
6319,1.20E-14
6320,1.22E-14
6321,1.24E-14
6322,1.24E-14
6323,1.25E-14
6324,1.26E-14
6325,1.27E-14
6326,1.27E-14
6327,1.27E-14
6328,1.27E-14
6329,1.27E-14
6330,1.26E-14
6331,1.27E-14
6332,1.27E-14
6333,1.27E-14
6334,1.26E-14
6335,1.25E-14
6336,1.23E-14
