wavelength,intensity
5336.2,22565.14
5338.45,22514.77
5340.7,22597.95
5342.95,22511.23
5345.2,22397.33
5347.45,22496.89
5349.7,22692.46
5351.95,22684.64
5354.2,22667.44
5356.45,22771.56
5358.7,22734.32
5360.95,22753.47
5363.2,22767.68
5365.46,22728.4
5367.71,22777.84
5369.96,22795.47
5372.21,22699.98
5374.46,22533.02
5376.71,22393.69
5378.96,22276.53
5381.21,22113.17
5383.46,22053.34
5385.71,22237.6
5387.96,22170.98
5390.21,21970.98
5392.46,21908.65
5394.71,21960.26
5396.96,21852.15
5399.21,21821.39
5401.47,21881.52
5403.72,21774.07
5405.97,21734.43
5408.22,21653.73
5410.47,21508.14
5412.72,21409.59
5414.97,21282.19
5417.22,21270.57
5419.47,21253.54
5421.72,21035.55
5423.97,20964.08
5426.22,20991.23
5428.47,20920.3
5430.72,20755.93
5432.97,20793.04
5435.22,20777.67
5437.48,20601.21
5439.73,20460.68
5441.98,20472.85
5444.23,20471.48
5446.48,20469.2
5448.73,20499.89
5450.98,20286.62
5453.23,20264.59
5455.48,20397.87
5457.73,20354.39
5459.98,20373.69
5462.23,20234.74
5464.48,20116.69
5466.73,20263.49
5468.98,20211.12
5471.23,20142.79
5473.49,20169.36
5475.74,20181.31
5477.99,20166.43
5480.24,20219
5482.49,20220.49
5484.74,20061.77
5486.99,19987.88
5489.24,19967.41
5491.49,19949.4
5493.74,19941.32
5495.99,19926.65
5498.24,19915.39
5500.49,19862.22
5502.74,19789.48
5504.99,19843.04
5507.24,19853.14
5509.5,19848.34
5511.75,19901.19
5514,19867.61
5516.25,19895.79
5518.5,19969.98
5520.75,19939.98
5523,19844.41
5525.25,19949.75
5527.5,20076.11
5529.75,20049.72
5532,20197.88
5534.25,20219.23
5536.5,20155.19
5538.75,20263.69
5541,20422.6
5543.25,20380.02
5545.51,20370.96
5547.76,20602.7
5550.01,20663.93
5552.26,20732.79
5554.51,20849.5
5556.76,20964.06
5559.01,21217.55
5561.26,21424.51
5563.51,21541.01
5565.76,21680.25
5568.01,21941.04
5570.26,22201.81
5572.51,22509.21
5574.76,22881.2
5577.01,23074.52
5579.26,23405.55
5581.52,23797.08
5583.77,24084.32
5586.02,24557.81
5588.27,24981.34
5590.52,25380.63
5592.77,25913.84
5595.02,26412.2
5597.27,27059.92
5599.52,27772.3
5601.77,28316.38
5604.02,28808.85
5606.27,29506.84
5608.52,30100.02
5610.77,30410.12
5613.02,31089.18
5615.27,31752.1
5617.52,32191.57
5619.78,32483.32
5622.03,32566.12
5624.28,32664.91
5626.53,32860.8
5628.78,32973.18
5631.03,32721.11
5633.28,32462.01
5635.53,32389.63
5637.78,32239.88
5640.03,31726.7
5642.28,31336.57
5644.53,31035.22
5646.78,30451.53
5649.03,29948.22
5651.28,29444.23
5653.53,28955.91
5655.79,28624.34
5658.04,28222.68
5660.29,27723.65
5662.54,27230.8
5664.79,26766.76
5667.04,26234.76
5669.29,25779.26
5671.54,25439.25
5673.79,25108.94
5676.04,24818.38
5678.29,24618.78
5680.54,24420.58
5682.79,24149.05
5685.04,23985.42
5687.29,23882.63
5689.54,23721.02
5691.8,23528.32
5694.05,23533.66
5696.3,23355.08
5698.55,23042.23
5700.8,23017.4
5703.05,22848.38
5705.3,22614.52
5707.55,22415.39
